Jaartal,Festival,Prijs,Artiest,muziekweb,Original name,ID Festival editie,ID artiest
2024,Noorderslag,Popprijs,Roxy Dekker,,Roxy Dekker,https://www.wikidata.org/wiki/Q2679226,http://data.beeldengeluid.nl/gtaa/1743984; https://www.concertarchives.org/bands/roxy-dekker
2023,Noorderslag,Popprijs,Joost [NL I],https://data.muziekweb.nl/Link/M00000102009,Joost (Klein),https://www.wikidata.org/wiki/Q2679226,https://www.concertarchives.org/bands/joost; http://data.beeldengeluid.nl/gtaa/222390
2022,Noorderslag,Popprijs,Goldband,https://data.muziekweb.nl/Link/M00000573021,Goldband,https://www.wikidata.org/wiki/Q2679226,http://data.beeldengeluid.nl/gtaa/1728790
2021,Noorderslag,Popprijs,Di-Rect,https://data.muziekweb.nl/Link/M00000141126,Di-rect,https://www.wikidata.org/wiki/Q2679226,http://data.beeldengeluid.nl/gtaa/51680
2019,Noorderslag,Popprijs,Floor Jansen,https://data.muziekweb.nl/Link/M00000443443,Floor Jansen,https://www.wikidata.org/wiki/Q2679226,http://data.beeldengeluid.nl/gtaa/114993
2018,Noorderslag,Popprijs,Ronnie Flex,https://data.muziekweb.nl/Link/M00000377427,Ronnie Flex,https://www.wikidata.org/wiki/Q2679226,http://data.beeldengeluid.nl/gtaa/1746076
2017,Noorderslag,Popprijs,Kensington,https://data.muziekweb.nl/Link/M00000360329,Kensington,https://www.wikidata.org/wiki/Q2679226,http://data.beeldengeluid.nl/gtaa/224355
2016,Noorderslag,Popprijs,Martin Garrix,https://data.muziekweb.nl/Link/M00000402717,Martin Garrix,https://www.wikidata.org/wiki/Q2679226,http://data.beeldengeluid.nl/gtaa/238138
2015,Noorderslag,Popprijs,The New Wave,https://data.muziekweb.nl/Link/M00000185790,New Wave,https://www.wikidata.org/wiki/Q2679226,https://nl.wikipedia.org/wiki/New_Wave_(muziekgroep)
2014,Noorderslag,Popprijs,The Common Linnets,https://data.muziekweb.nl/Link/M00000440576,The Common Linnets,https://www.wikidata.org/wiki/Q2679226,http://data.beeldengeluid.nl/gtaa/237918
2013,Noorderslag,Popprijs,The Opposites,https://data.muziekweb.nl/Link/M00000219098,The Opposites,https://www.wikidata.org/wiki/Q2679226,http://data.beeldengeluid.nl/gtaa/65067
2012,Noorderslag,Popprijs,Racoon,https://data.muziekweb.nl/Link/M00000071173,Racoon,https://www.wikidata.org/wiki/Q2679226,http://data.beeldengeluid.nl/gtaa/66646
2011,Noorderslag,Popprijs,De Jeugd van Tegenwoordig,https://data.muziekweb.nl/Link/M00000212777,De Jeugd van Tegenwoordig,https://www.wikidata.org/wiki/Q2679226,http://data.beeldengeluid.nl/gtaa/230061
2010,Noorderslag,Popprijs,Caro Emerald,https://data.muziekweb.nl/Link/M00000343094,Caro Emerald,https://www.wikidata.org/wiki/Q2679226,http://data.beeldengeluid.nl/gtaa/221049
2009,Noorderslag,Popprijs,Kyteman,https://data.muziekweb.nl/Link/M00000295152,Kyteman,https://www.wikidata.org/wiki/Q2679226,http://data.beeldengeluid.nl/gtaa/213141
2008,Noorderslag,Popprijs,De Dijk,https://data.muziekweb.nl/Link/M00000081647,De Dijk,https://www.wikidata.org/wiki/Q2679226,http://data.beeldengeluid.nl/gtaa/51645
2007,Noorderslag,Popprijs,Armin van Buuren,https://data.muziekweb.nl/Link/M00000108213,Armin van Buuren,https://www.wikidata.org/wiki/Q2679226,http://www.wikidata.org/entity/Q62617; http://data.beeldengeluid.nl/gtaa/87863
2006,Noorderslag,Popprijs,Spinvis,https://data.muziekweb.nl/Link/M00000157729,Spinvis,https://www.wikidata.org/wiki/Q2679226,http://data.beeldengeluid.nl/gtaa/156879; http://www.wikidata.org/entity/Q589220
2005,Noorderslag,Popprijs,Within Temptation,https://data.muziekweb.nl/Link/M00000077123,Within Temptation,https://www.wikidata.org/wiki/Q2679226,http://data.beeldengeluid.nl/gtaa/73534
2004,Noorderslag,Popprijs,Ali B,https://data.muziekweb.nl/Link/M00000156657,Ali B,https://www.wikidata.org/wiki/Q2679226,http://www.wikidata.org/entity/Q2439541; https://data.muziekschatten.nl/som/186d05a909f932f233899d9fc8c503ac
2003,Noorderslag,Popprijs,Bløf,https://data.muziekweb.nl/Link/M00000036042,BLØF,https://www.wikidata.org/wiki/Q2679226,http://data.beeldengeluid.nl/gtaa/48385
2002,Noorderslag,Popprijs,Tiësto,https://data.muziekweb.nl/Link/M00000058276,Tiësto,https://www.wikidata.org/wiki/Q2679226,http://data.beeldengeluid.nl/gtaa/248779
2001,Noorderslag,Popprijs,Anouk,https://data.muziekweb.nl/Link/M00000081627,Anouk,https://www.wikidata.org/wiki/Q2679226,http://data.beeldengeluid.nl/gtaa/77616
2000,Noorderslag,Popprijs,Arling & Cameron,https://data.muziekweb.nl/Link/M00000095398,Arling & Cameron,https://www.wikidata.org/wiki/Q2679226,http://data.beeldengeluid.nl/gtaa/1025018
1999,Noorderslag,Popprijs,Postmen,https://data.muziekweb.nl/Link/M00000031042,Postmen,https://www.wikidata.org/wiki/Q2679226,http://data.beeldengeluid.nl/gtaa/66053
1998,Noorderslag,Popprijs,Junkie XL,https://data.muziekweb.nl/Link/M00000036219,Junkie XL,https://www.wikidata.org/wiki/Q2679226,https://data.muziekschatten.nl/som/70ba80cd9ef5439759723526ac13e561; http://data.beeldengeluid.nl/gtaa/58021; http://www.wikidata.org/entity/Q266429; http://www.wikidata.org/entity/Q266429
1997,Noorderslag,Popprijs,Marco Borsato,https://data.muziekweb.nl/Link/M00000019062,Marco Borsato,https://www.wikidata.org/wiki/Q2679226,http://data.beeldengeluid.nl/gtaa/84558; http://www.wikidata.org/entity/Q429385
1996,Noorderslag,Popprijs,Eboman,https://data.muziekweb.nl/Link/M00000101731,Eboman,https://www.wikidata.org/wiki/Q2679226,http://data.beeldengeluid.nl/gtaa/95911; http://www.wikidata.org/entity/Q2204202; https://data.muziekschatten.nl/som/385a7655010b2fae5437e131654f94a4
1995,Noorderslag,Popprijs,Osdorp Posse,https://data.muziekweb.nl/Link/M00000041444,Osdorp Posse,https://www.wikidata.org/wiki/Q2679226,http://data.beeldengeluid.nl/gtaa/65235
1994,Noorderslag,Popprijs,2 Unlimited,https://data.muziekweb.nl/Link/M00000098543,2 Unlimited,https://www.wikidata.org/wiki/Q2679226,http://data.beeldengeluid.nl/gtaa/45565;
1993,Noorderslag,Popprijs,Bettie Serveert,https://data.muziekweb.nl/Link/M00000054448,Bettie Serveert,https://www.wikidata.org/wiki/Q2679226,http://data.beeldengeluid.nl/gtaa/47897
1992,Noorderslag,Popprijs,The Scene [CA],https://data.muziekweb.nl/Link/M00000368313,The Scene,https://www.wikidata.org/wiki/Q2679226,http://data.beeldengeluid.nl/gtaa/71672
1991,Noorderslag,Popprijs,The Ex,https://data.muziekweb.nl/Link/M00000033170,The Ex,https://www.wikidata.org/wiki/Q2679226,http://data.beeldengeluid.nl/gtaa/53510
1990,Noorderslag,Popprijs,Urban Dance Squad,https://data.muziekweb.nl/Link/M00000051206,Urban Dance Squad,https://www.wikidata.org/wiki/Q2679226,http://data.beeldengeluid.nl/gtaa/71441
1989,Noorderslag,Popprijs,Herman Brood,https://data.muziekweb.nl/Link/M00000000542,Herman Brood,https://www.wikidata.org/wiki/Q2679226,https://data.muziekschatten.nl/som/63311a9a2a34f6e55c60c9b70d644b31; https://data.rkd.nl/artists/12961; http://www.wikidata.org/entity/Q719447
1988,Noorderslag,Popprijs,Claw Boys Claw,https://data.muziekweb.nl/Link/M00000038287,Claw Boys Claw,https://www.wikidata.org/wiki/Q2679226,http://data.beeldengeluid.nl/gtaa/48086; https://data.muziekweb.nl/Link/M00000038287
1987,Noorderslag,Popprijs,Nits,https://data.muziekweb.nl/Link/M00000061499,The Nits,https://www.wikidata.org/wiki/Q2679226,http://data.beeldengeluid.nl/gtaa/63767; https://data.muziekweb.nl/Link/M00000061499; https://data.muziekweb.nl/Link/M00000596374
1986,Noorderslag,Popprijs,Mathilde Santing,https://data.muziekweb.nl/Link/M00000092537,Mathilde Santing,https://www.wikidata.org/wiki/Q2679226,https://data.muziekweb.nl/Link/M00000092537; https://www.wikidata.org/wiki/Q532913; https://musicbrainz.org/artist/8fb47d8a-5629-4651-a806-55fb0fe789b6; https://www.discogs.com/artist/259623-Mathilde-Santing
