performer,name
https://www.festivalinfo.nl/artist/102492/t-Kabinet/,'t Kabinet
https://www.festivalinfo.nl/artist/150/16-Down/,16 Down
https://www.festivalinfo.nl/artist/19973/2-Brothers-On-The-4th-Floor/,2 Brothers On The 4th Floor
https://www.festivalinfo.nl/artist/165889/2-Chord-Genius/,2 Chord Genius
https://www.festivalinfo.nl/artist/40489/2-Unlimited/,2 Unlimited
https://www.festivalinfo.nl/artist/21253/2000-And-One/,2000 And One
https://www.festivalinfo.nl/artist/36724/3-5007/,3 5007
https://www.festivalinfo.nl/artist/97/3-Doors-Down/,3 Doors Down
https://www.festivalinfo.nl/artist/3954/35007/,35007
https://www.festivalinfo.nl/artist/25348/3JS/,3JS
https://www.festivalinfo.nl/artist/15863/433fm-Silent-Disco/,433fm Silent Disco
https://www.festivalinfo.nl/artist/71347/90S-NOW/,90'S NOW
https://www.festivalinfo.nl/artist/24470/90s-Now!/,90's Now!
https://www.festivalinfo.nl/artist/33183/A-Day-To-Remember/,A Day To Remember
https://www.festivalinfo.nl/artist/38138/A-Storm-Of-Light/,A Storm Of Light
https://www.festivalinfo.nl/artist/57984/AA-the-Doctors/,AA & the Doctors
https://www.festivalinfo.nl/artist/114870/AMMAR-808/,AMMAR 808
https://www.festivalinfo.nl/artist/1969/Abel-band-/,Abel (band)
https://www.festivalinfo.nl/artist/10662/Absynthe-Minded/,Absynthe Minded
https://www.festivalinfo.nl/artist/73/Acda-en-de-Munnik/,Acda en de Munnik
https://www.festivalinfo.nl/artist/2094/Acid-Junkies/,Acid Junkies
https://www.festivalinfo.nl/artist/46600/Actress/,Actress
https://www.festivalinfo.nl/artist/32679/Adele/,Adele
https://www.festivalinfo.nl/artist/841/Admiral-Freebee/,Admiral Freebee
https://www.festivalinfo.nl/artist/55/After-Forever/,After Forever
https://www.festivalinfo.nl/artist/79307/Afterpartees/,Afterpartees
https://www.festivalinfo.nl/artist/21762/Agalloch/,Agalloch
https://www.festivalinfo.nl/artist/36260/Ahab/,Ahab
https://www.festivalinfo.nl/artist/134743/Ain-Bailey/,Ain Bailey
https://www.festivalinfo.nl/artist/8177/Air-On-Maiden/,Air On Maiden
https://www.festivalinfo.nl/artist/23168/Air-Traffic/,Air Traffic
https://www.festivalinfo.nl/artist/33171/Airbourne/,Airbourne
https://www.festivalinfo.nl/artist/15288/Al-Green/,Al Green
https://www.festivalinfo.nl/artist/3636/Al-Jarreau/,Al Jarreau
https://www.festivalinfo.nl/artist/24925/Alabama-Kids/,Alabama Kids
https://www.festivalinfo.nl/artist/64321/Alabama-Shakes/,Alabama Shakes
https://www.festivalinfo.nl/artist/1672/Alabama-Thunderpussy/,Alabama Thunderpussy
https://www.festivalinfo.nl/artist/122867/Alabaster-DePlume/,Alabaster DePlume
https://www.festivalinfo.nl/artist/32592/Alain-Clark/,Alain Clark
https://www.festivalinfo.nl/artist/4818/Alamo-Race-Track/,Alamo Race Track
https://www.festivalinfo.nl/artist/13584/Alanis-Morissette/,Alanis Morissette
https://www.festivalinfo.nl/artist/88023/Albert-van-Abbe/,Albert van Abbe
https://www.festivalinfo.nl/artist/48296/Alcest/,Alcest
https://www.festivalinfo.nl/artist/32159/Alestorm/,Alestorm
https://www.festivalinfo.nl/artist/20784/Alex-Smoke/,Alex Smoke
https://www.festivalinfo.nl/artist/95548/Algiers/,Algiers
https://www.festivalinfo.nl/artist/9867/Alicia-Keys/,Alicia Keys
https://www.festivalinfo.nl/artist/114779/Alien-Weaponry/,Alien Weaponry
https://www.festivalinfo.nl/artist/33591/All-Time-Low/,All Time Low
https://www.festivalinfo.nl/artist/6380/All-American-Rejects/,All-American Rejects
http://www.wikidata.org/entity/Q104865154,Almost Monday
https://www.festivalinfo.nl/artist/23116/Aloe-Blacc/,Aloe Blacc
https://www.festivalinfo.nl/artist/136675/Alpha-Rats/,Alpha Rats
https://www.festivalinfo.nl/artist/842/Altar/,Altar
https://www.festivalinfo.nl/artist/107969/Alt-n-Gun/,Altın Gün
https://www.festivalinfo.nl/artist/56396/Amaranthe/,Amaranthe
https://www.festivalinfo.nl/artist/55972/Amenra/,Amenra
https://www.festivalinfo.nl/artist/192/Amon-Tobin/,Amon Tobin
https://www.festivalinfo.nl/artist/12858/Amos-Lee/,Amos Lee
https://www.festivalinfo.nl/artist/10185/Amp-Fiddler/,Amp Fiddler
https://www.festivalinfo.nl/artist/971/Amsterdam-Klezmer-Band/,Amsterdam Klezmer Band
https://www.festivalinfo.nl/artist/32012/Amy-Macdonald/,Amy Macdonald
https://www.festivalinfo.nl/artist/10289/Amy-Winehouse/,Amy Winehouse
https://www.festivalinfo.nl/artist/121482/Amyl-and-The-Sniffers/,Amyl and The Sniffers
https://www.festivalinfo.nl/artist/22020/An-Emotional-Fish/,An Emotional Fish
https://www.festivalinfo.nl/artist/137328/Ana-Roxanne/,Ana Roxanne
https://www.festivalinfo.nl/artist/1194/Anathema/,Anathema
https://www.festivalinfo.nl/artist/98421/Anderson-Paak-The-Free-Nationals/,Anderson .Paak & The Free Nationals
https://www.festivalinfo.nl/artist/71088/Andre-Hazes-Jr-/,Andre Hazes Jr.
https://www.festivalinfo.nl/artist/102493/Andrea-van-Beek/,Andrea van Beek
https://www.festivalinfo.nl/artist/116786/Andrius-Arutiunian/,Andrius Arutiunian
https://www.festivalinfo.nl/artist/5121/Andre-Manuel/,André Manuel
https://www.festivalinfo.nl/artist/1030/Andy-C/,Andy C
https://www.festivalinfo.nl/artist/125509/Angel-Bat-Dawid/,Angel Bat Dawid
https://www.festivalinfo.nl/artist/22317/Angel-Witch/,Angel Witch
https://www.festivalinfo.nl/artist/3633/Angelique-Kidjo/,Angelique Kidjo
https://www.festivalinfo.nl/artist/53054/Angelus-Apatrida/,Angelus Apatrida
https://www.festivalinfo.nl/artist/3635/Angie-Stone/,Angie Stone
https://www.festivalinfo.nl/artist/9507/Animal-Collective/,Animal Collective
https://www.festivalinfo.nl/artist/85277/Anna-Meredith/,Anna Meredith
https://www.festivalinfo.nl/artist/72300/Anna-Von-Hausswolff/,Anna Von Hausswolff
https://www.festivalinfo.nl/artist/3368/Anne-Clark/,Anne Clark
https://www.festivalinfo.nl/artist/132537/Annelies-Van-Parys/,Annelies Van Parys
https://www.festivalinfo.nl/artist/627/Annihilator/,Annihilator
https://www.festivalinfo.nl/artist/93666/Anonymous4/,Anonymous4
https://www.festivalinfo.nl/artist/19/Anouk/,Anouk
https://www.festivalinfo.nl/artist/30771/Antenna/,Antenna
https://www.festivalinfo.nl/artist/3909/Anthrax/,Anthrax
https://www.festivalinfo.nl/artist/136102/Antoon/,Antoon
https://www.festivalinfo.nl/artist/72443/Antropomorphia/,Antropomorphia
https://www.festivalinfo.nl/artist/229/Apocalyptica/,Apocalyptica
https://www.festivalinfo.nl/artist/90104/Arca/,Arca
https://www.festivalinfo.nl/artist/13889/Arcade-Fire/,Arcade Fire
https://www.festivalinfo.nl/artist/2179/Arch-Enemy/,Arch Enemy
https://www.festivalinfo.nl/artist/18097/Arctic-Monkeys/,Arctic Monkeys
https://www.festivalinfo.nl/artist/122182/Ariah-Lester/,Ariah Lester
https://www.festivalinfo.nl/artist/3888/Armored-Saint/,Armored Saint
https://www.festivalinfo.nl/artist/1462/Arno/,Arno
https://www.festivalinfo.nl/artist/137274/Arooj-Aftab/,Arooj Aftab
https://www.festivalinfo.nl/artist/21499/Arthur-Ebeling/,Arthur Ebeling
https://www.festivalinfo.nl/artist/138283/Arushi-Jain/,Arushi Jain
https://www.festivalinfo.nl/artist/14278/As-I-Lay-Dying/,As I Lay Dying
https://www.festivalinfo.nl/artist/235/Ash-UK-/,Ash (UK)
https://www.festivalinfo.nl/artist/98917/Ash-Koosha/,Ash Koosha
https://www.festivalinfo.nl/artist/137668/Ashley-Paul/,Ashley Paul
https://www.festivalinfo.nl/artist/65914/Asko-Schonberg/,Asko Schönberg
https://www.festivalinfo.nl/artist/24127/Asphyx/,Asphyx
https://www.festivalinfo.nl/artist/11949/Asrai/,Asrai
https://www.festivalinfo.nl/artist/47276/Astra/,Astra
https://www.festivalinfo.nl/artist/13500/Astrosoniq/,Astrosoniq
https://www.festivalinfo.nl/artist/31238/At-The-Gates/,At The Gates
https://www.festivalinfo.nl/artist/29891/Atlantis/,Atlantis
https://www.festivalinfo.nl/artist/5793/Audio-Bullys/,Audio Bullys
https://www.festivalinfo.nl/artist/33090/Audrey-Horne/,Audrey Horne
https://www.festivalinfo.nl/artist/32620/August-Burns-Red/,August Burns Red
https://www.festivalinfo.nl/artist/87850/Aurora/,Aurora
https://www.festivalinfo.nl/artist/97306/Aurora-Halal/,Aurora Halal
https://www.festivalinfo.nl/artist/2475/Australian-Nirvana/,Australian Nirvana
https://www.festivalinfo.nl/artist/13968/Autechre/,Autechre
https://www.festivalinfo.nl/artist/40657/Automatic-Sam/,Automatic Sam
https://www.festivalinfo.nl/artist/1746/Autumn/,Autumn
https://www.festivalinfo.nl/artist/11708/Aux-Raus/,Aux Raus
https://www.festivalinfo.nl/artist/92464/Avalon-Emerson/,Avalon Emerson
https://www.festivalinfo.nl/artist/24976/Avatar/,Avatar
https://www.festivalinfo.nl/artist/13790/B-B-King/,B.B. King
https://www.festivalinfo.nl/artist/138841/BACKXWASH/,BACKXWASH
https://www.festivalinfo.nl/artist/37429/BL!NDMAN/,BL!NDMAN
https://www.festivalinfo.nl/artist/61618/BRUUT!/,BRUUT!
https://www.festivalinfo.nl/artist/159/BZB-Band-Zonder-Banaan-/,BZB (Band Zonder Banaan)
https://www.festivalinfo.nl/artist/22164/Babes-In-Toyland/,Babes In Toyland
https://www.festivalinfo.nl/artist/2899/Baby-Woodrose/,Baby Woodrose
https://www.festivalinfo.nl/artist/99805/Babyfather/,Babyfather
https://www.festivalinfo.nl/artist/4382/Babylon-Circus/,Babylon Circus
https://www.festivalinfo.nl/artist/88931/Bad-Breeding/,Bad Breeding
https://www.festivalinfo.nl/artist/4419/Bad-Candy/,Bad Candy
https://www.festivalinfo.nl/artist/122341/Bad-Nerves/,Bad Nerves
https://www.festivalinfo.nl/artist/172/Bad-Religion/,Bad Religion
https://www.festivalinfo.nl/artist/22220/Bad-to-the-Bone/,Bad to the Bone
https://www.festivalinfo.nl/artist/66582/Badbadnotgood/,Badbadnotgood
https://www.festivalinfo.nl/artist/63304/Bade/,Bade
https://www.festivalinfo.nl/artist/109812/Baest/,Baest
https://www.festivalinfo.nl/artist/18266/Balthazar-Be-/,Balthazar (Be)
https://www.festivalinfo.nl/artist/20398/Band-Of-Horses/,Band Of Horses
https://www.festivalinfo.nl/artist/48405/Band-of-Skulls/,Band of Skulls
https://www.festivalinfo.nl/artist/126442/Banji/,Banji
https://www.festivalinfo.nl/artist/134744/Barbara-Ellison/,Barbara Ellison
https://www.festivalinfo.nl/artist/21178/Baroness/,Baroness
https://www.festivalinfo.nl/artist/12883/Barrelhouse/,Barrelhouse
https://www.festivalinfo.nl/artist/6706/Bart-Skils/,Bart Skils
https://www.festivalinfo.nl/artist/95/Basement-Jaxx/,Basement Jaxx
https://www.festivalinfo.nl/artist/40728/Baskerville/,Baskerville
https://www.festivalinfo.nl/artist/285/Bastian/,Bastian
https://www.festivalinfo.nl/artist/72942/Bastille/,Bastille
https://www.festivalinfo.nl/artist/12488/Batmobile/,Batmobile
https://www.festivalinfo.nl/artist/57644/Battle-Beast/,Battle Beast
https://www.festivalinfo.nl/artist/16055/Battles/,Battles
http://www.wikidata.org/entity/Q133190171,Battlesnake
https://www.festivalinfo.nl/artist/135228/Bay-Area-Interthrashional/,Bay Area Interthrashional
https://www.festivalinfo.nl/artist/84591/Bazart/,Bazart
https://www.festivalinfo.nl/artist/41593/Bazzookas/,Bazzookas
https://www.festivalinfo.nl/artist/18640/Beans-USA-/,Beans (USA)
https://www.festivalinfo.nl/artist/74573/Bears-Den/,Bear's Den
https://www.festivalinfo.nl/artist/116394/Beast-In-Black/,Beast In Black
https://www.festivalinfo.nl/artist/71/Beastie-Boys/,Beastie Boys
https://www.festivalinfo.nl/artist/22143/Beatcream/,Beatcream
https://www.festivalinfo.nl/artist/165838/Beatmasters/,Beatmasters
https://www.festivalinfo.nl/artist/98922/Beatrice-Dillon/,Beatrice Dillon
https://www.festivalinfo.nl/artist/435/Beatsteaks/,Beatsteaks
https://www.festivalinfo.nl/artist/123/Beck/,Beck
https://www.festivalinfo.nl/artist/60/Beef/,Beef
https://www.festivalinfo.nl/artist/26906/Beirut/,Beirut
https://www.festivalinfo.nl/artist/136661/Ben-Bertrand/,Ben Bertrand
