wikidata property, ID name, Example URI
P214, VIAF cluster ID, https://viaf.org/viaf/170501190
P213, ISNI, https://isni.org/isni/0000000119274018
P268, Bibliothèque nationale de France ID, https://catalogue.bnf.fr/ark:/12148/cb14237070j
P227, GND ID, https://d-nb.info/gnd/135224276
P7902, Deutsche Biographie (GND) ID, https://www.deutsche-biographie.de/135224276.html
P244, Library of Congress authority ID, https://id.loc.gov/authorities/n2014071551
P1006, Nationale Thesaurus voor Auteursnamen ID, https://data.bibliotheken.nl/id/thes/p105405469
P7293, National Library of Poland MMS ID, https://dbn.bn.org.pl/descriptor-details/9810569504505606
P10832, WorldCat Entities ID, https://id.oclc.org/worldcat/entity/E39PBJg8Cc39MFbVhwvvYDWxDq
P7109, Acharts.co artist ID, https://acharts.co/artist/eric_vloeimans
P5121, All About Jazz musician ID, https://www.allaboutjazz.com/musicians/musician.php?id=11092
P1728, AllMusic artist ID, https://www.allmusic.com/artist/mn0000192149
P1953, Discogs artist ID, https://www.discogs.com/artist/166208
P7704, Europeana entity, https://data.europeana.eu/agent/base/63843
P646, Freebase ID, https://www.google.com/search?kgmid=/m/01s3n0q
P8591, Grove Music Online ID, https://doi.org/10.1093/gmo/9781561592630.article.J718000
P1741, GTAA ID, https://data.beeldengeluid.nl/gtaa/166144roperty:P345
P345, IMDb ID, https://www.imdb.com/&amp;id=nm2465993 
P6640, JRC Names ID, https://emm.newsbrief.eu/NewsBrief/entityedition/en/173068.html
P434, MusicBrainz artist ID, https://musicbrainz.org/artist/66d67bc9-a37c-4103-b3ca-a1c23a008d12
P9965, Musik-Sammler.de artist ID, https://www.musik-sammler.de/artist/288590/
P9589, Muziekencyclopedie ID, https://www.muziekencyclopedie.nl/action/entry/Eric%20Vloeimans
P5882, Muziekweb performer ID, https://www.muziekweb.nl/Link/M00000049825/
P3368, Prabook ID, https://prabook.com/web/person-view.html?profileId=2421784
P2909, SecondHandSongs artist ID, https://secondhandsongs.com/artist/74223
